id,slug,name,kind,expectedCategory,actualCategoryIds,status
asianRestaurants_01d2fd8409bc,siam-thai-food-01d2,Siam Thai Food,restaurant,asian,asian,OK
asianRestaurants_01f6cf956e90,hachiko-sushi-tales-cocktails-psychiko-01f6,Hachikō Sushi Tales & Cocktails Psychiko,restaurant,asian,asian,OK
asianRestaurants_022225397aac,zuma-mykonos-0222,Zuma Mykonos,restaurant,asian,asian,OK
asianRestaurants_02d0f232a272,new-great-wall-marousi-02d0,New Great Wall Marousi,restaurant,asian,asian,OK
asianRestaurants_03f354f3f469,gaku-sushi-izakaya-chalandri-03f3,GAKU Sushi Izakaya @ Chalandri,restaurant,asian,asian,OK
asianRestaurants_0a06ecfadcd2,shisan-sushi-bar-0a06,Shisan Sushi Bar,restaurant,asian,asian,OK
asianRestaurants_0af7fecfc049,asian-house-0af7,Asian House,restaurant,asian,asian,OK
asianRestaurants_0d95e4345c8a,sushimou-0d95,Sushimou,restaurant,asian,asian|luxury-dining,OK
asianRestaurants_0fceaf69bfec,tailandi-0fce,Ταϊλάνδη,restaurant,asian,asian,OK
asianRestaurants_0fe2688bf847,shisan-sushi-bar-0fe2,Shisan Sushi Bar,restaurant,asian,asian,OK
asianRestaurants_11df834afa0a,axi-11df,AXI - 阿锡早点,restaurant,asian,asian|cheap-eats,OK
asianRestaurants_11e9b056b89d,bulacan-halo-halo-11e9,Bulacan Halo-Halo,restaurant,asian,asian,OK
asianRestaurants_145a81e4039e,akira-sushi-bar-athens-japanese-restaurant-145a,Akira Sushi Bar | Athens Japanese Restaurant,restaurant,asian,asian,OK
asianRestaurants_169207d89dbd,sushi-city-1692,Sushi City,restaurant,asian,asian,OK
asianRestaurants_245947f00892,one-piece-sushi-noodlebar-2459,One Piece Sushi & NoodleBar,restaurant,asian,asian,OK
asianRestaurants_29ff4585bb4b,koi-sushi-bar-pangrati-29ff,Koi Sushi Bar | Pangrati,restaurant,asian,asian,OK
asianRestaurants_2fedddceed72,noodle-bar-2fed,Noodle Bar,restaurant,asian,asian,OK
asianRestaurants_302bc43e3be3,wagamama-golden-hall-302b,Wagamama Golden Hall,restaurant,asian,asian,OK
asianRestaurants_313cbf5dd5ee,wagamama-kifisia-313c,wagamama kifisia,restaurant,asian,asian,OK
asianRestaurants_315dc41692bd,sakura-sushi-and-steak-house-315d,Sakura Sushi and Steak House,restaurant,asian,asian,OK
asianRestaurants_36f4a8956e8a,oma-sushi-bar-36f4,Oma Sushi Bar,restaurant,asian,asian,OK
asianRestaurants_38b8b7a5de82,garum-athens-38b8,Garum Athens,restaurant,asian,asian|luxury-dining,OK
asianRestaurants_3e39975f70d5,streetwok-3e39,StreetWok,restaurant,asian,asian|cheap-eats,OK
asianRestaurants_41c1b197a672,wen-zhou-specialties-41c1,Wen Zhou Specialties,restaurant,asian,asian,OK
asianRestaurants_427d94265987,shisan-sushi-bar-427d,Shisan Sushi Bar,restaurant,asian,asian,OK
asianRestaurants_42df17dcd2e4,dosirak-42df,Dosirak,restaurant,asian,asian,OK
asianRestaurants_43504a2d050f,shiraki-athens-4350,Shiraki Athens,restaurant,asian,asian,OK
asianRestaurants_4360c7ba70e3,microulee-4360,Microulee,restaurant,asian,asian,OK
asianRestaurants_4641bf909241,wasabe-asian-fusion-4641,Wasabe Asian Fusion,restaurant,asian,asian,OK
asianRestaurants_464e7e4c810b,tanpopo-464e,Tanpopo,restaurant,asian,asian,OK
